"price_id (S)","close (N)","date (S)","high (N)","low (N)","open (N)","ticker (S)","volume (N)"
"TSLA1589549400","159.83399963378906","1589549400","161.00999450683594","157.30999755859375","158.07000732421875","TSLA","52592000"
"TSLA1589981400","163.11199951171875","1589981400","165.1999969482422","162.36000061035156","164.10000610351562","TSLA","36546500"
"TSLA1590067800","165.52000427246094","1590067800","166.5","159.1999969482422","163.1999969482422","TSLA","61273000"
"TSLA1590586200","164.04600524902344","1590586200","165.54200744628906","157","164.1719970703125","TSLA","57747500"
"TSLA1590759000","167","1590759000","167","160.8419952392578","161.75","TSLA","58822500"
"TSLA1591104600","176.31199645996094","1591104600","181.73199462890625","174.1999969482422","178.94000244140625","TSLA","67828000"
"TSLA1591623000","189.98399353027344","1591623000","190","181.83200073242188","183.8000030517578","TSLA","70873500"
"TSLA1591709400","188.13400268554688","1591709400","190.88800048828125","184.78599548339844","188.0019989013672","TSLA","56941000"
"TSLA1592400600","198.35800170898438","1592400600","201","196.51400756835938","197.54200744628906","TSLA","49454000"
"TSLA1592487000","200.79200744628906","1592487000","203.83999633789062","198.8939971923828","200.60000610351562","TSLA","48759500"
"TSLA1592832600","198.86399841308594","1592832600","201.7760009765625","198.00399780273438","199.99000549316406","TSLA","31812000"
"TSLA1592919000","200.3560028076172","1592919000","202.39999389648438","198.802001953125","199.7760009765625","TSLA","31826500"
"TSLA1593091800","197.1959991455078","1593091800","197.1959991455078","187.42999267578125","190.85400390625","TSLA","46272500"
"TSLA1593437400","201.8699951171875","1593437400","202","189.70399475097656","193.802001953125","TSLA","45132000"
"TSLA1593696600","241.73199462890625","1593696600","245.60000610351562","237.1199951171875","244.29600524902344","TSLA","86250500"
"TSLA1594215000","273.1759948730469","1594215000","283.4519958496094","262.26800537109375","281","TSLA","81556500"
"TSLA1595251800","328.6000061035156","1595251800","330","297.6000061035156","303.802001953125","TSLA","85607000"
"TSLA1595597400","283.3999938964844","1595597400","293","273.3080139160156","283.2019958496094","TSLA","96983000"
"TSLA1595856600","307.9200134277344","1595856600","309.5880126953125","282.6000061035156","287","TSLA","80243500"
"TSLA1596029400","299.8219909667969","1596029400","306.9620056152344","297.3999938964844","300.20001220703125","TSLA","47134500"
"TSLA1596115800","297.49798583984375","1596115800","302.64801025390625","294.20001220703125","297.6000061035156","TSLA","38105000"
"TSLA1596461400","297","1596461400","301.9620056152344","288.8760070800781","289.8399963378906","TSLA","44046500"
"TSLA1596720600","297.9159851074219","1596720600","303.4620056152344","295.4519958496094","298.1659851074219","TSLA","29961500"
"TSLA1597152600","274.87799072265625","1597152600","284","273","279.20001220703125","TSLA","43129000"
"TSLA1597325400","324.20001220703125","1597325400","330.2359924316406","313.4519958496094","322.20001220703125","TSLA","102126500"
"TSLA1597411800","330.1419982910156","1597411800","333.760009765625","325.3280029296875","332.99798583984375","TSLA","62888000"
"TSLA1597757400","377.4179992675781","1597757400","384.7799987792969","369.0220031738281","379.7980041503906","TSLA","82372500"
"TSLA1597843800","375.70599365234375","1597843800","382.20001220703125","368.24200439453125","373","TSLA","61026500"
"TSLA1597930200","400.3659973144531","1597930200","404.39801025390625","371.4119873046875","372.135986328125","TSLA","103059000"
"TSLA1598880600","498.32000732421875","1598880600","500.1400146484375","440.1099853515625","444.6099853515625","TSLA","118374400"
"TSLA1598967000","475.04998779296875","1598967000","502.489990234375","470.510009765625","502.1400146484375","TSLA","89841100"
"TSLA1599571800","330.2099914550781","1599571800","368.739990234375","329.8800048828125","356","TSLA","115465700"
"TSLA1599744600","371.3399963378906","1599744600","398.989990234375","360.55999755859375","386.2099914550781","TSLA","84930600"
